# Time     Valence0    Valence1     Valence2     Valence3     Valence4     Valence5     Valence6
6.270000000000000000e+04 5.802469135802468952e-02 4.333333333333333481e-01 4.802469135802469036e-01 2.839506172839506223e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.280000000000000000e+04 5.679012345679012447e-02 4.333333333333333481e-01 4.814814814814814548e-01 2.839506172839506223e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.290000000000000000e+04 5.679012345679012447e-02 4.333333333333333481e-01 4.814814814814814548e-01 2.839506172839506223e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.300000000000000000e+04 5.679012345679012447e-02 4.333333333333333481e-01 4.814814814814814548e-01 2.839506172839506223e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.310000000000000000e+04 5.679012345679012447e-02 4.333333333333333481e-01 4.814814814814814548e-01 2.839506172839506223e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.320000000000000000e+04 5.679012345679012447e-02 4.333333333333333481e-01 4.814814814814814548e-01 2.839506172839506223e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.330000000000000000e+04 5.555555555555555247e-02 4.345679012345678993e-01 4.802469135802469036e-01 2.962962962962963076e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.340000000000000000e+04 5.555555555555555247e-02 4.345679012345678993e-01 4.802469135802469036e-01 2.962962962962963076e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.350000000000000000e+04 5.555555555555555247e-02 4.320987654320987414e-01 4.827160493827160614e-01 2.962962962962963076e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.360000000000000000e+04 5.555555555555555247e-02 4.320987654320987414e-01 4.827160493827160614e-01 2.962962962962963076e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.370000000000000000e+04 5.555555555555555247e-02 4.320987654320987414e-01 4.827160493827160614e-01 2.962962962962963076e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.380000000000000000e+04 5.555555555555555247e-02 4.320987654320987414e-01 4.827160493827160614e-01 2.962962962962963076e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.390000000000000000e+04 5.555555555555555247e-02 4.320987654320987414e-01 4.802469135802469036e-01 3.209876543209876781e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.400000000000000000e+04 5.555555555555555247e-02 4.320987654320987414e-01 4.802469135802469036e-01 3.209876543209876781e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.410000000000000000e+04 5.555555555555555247e-02 4.320987654320987414e-01 4.802469135802469036e-01 3.209876543209876781e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.420000000000000000e+04 5.555555555555555247e-02 4.320987654320987414e-01 4.802469135802469036e-01 3.209876543209876781e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.430000000000000000e+04 5.432098765432098741e-02 4.320987654320987414e-01 4.814814814814814548e-01 3.209876543209876781e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.440000000000000000e+04 5.432098765432098741e-02 4.320987654320987414e-01 4.814814814814814548e-01 3.209876543209876781e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.450000000000000000e+04 5.308641975308642236e-02 4.296296296296296391e-01 4.851851851851851638e-01 3.209876543209876781e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.460000000000000000e+04 5.308641975308642236e-02 4.296296296296296391e-01 4.851851851851851638e-01 3.209876543209876781e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.470000000000000000e+04 5.308641975308642236e-02 4.296296296296296391e-01 4.851851851851851638e-01 3.209876543209876781e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
