# Time     Monomers    Dimers     Chains     Loops     Gels/Branchedchains
8.550000000000000000e+04 1.559999999999999998e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.560000000000000000e+04 1.559999999999999998e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.570000000000000000e+04 1.559999999999999998e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.580000000000000000e+04 1.559999999999999998e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.590000000000000000e+04 1.559999999999999998e-01 2.469999999999999973e-01 4.279999999999999916e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.600000000000000000e+04 1.559999999999999998e-01 2.469999999999999973e-01 4.279999999999999916e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.610000000000000000e+04 1.559999999999999998e-01 2.469999999999999973e-01 4.279999999999999916e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.620000000000000000e+04 1.559999999999999998e-01 2.469999999999999973e-01 4.279999999999999916e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.630000000000000000e+04 1.559999999999999998e-01 2.469999999999999973e-01 4.279999999999999916e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.640000000000000000e+04 1.559999999999999998e-01 2.469999999999999973e-01 4.279999999999999916e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.650000000000000000e+04 1.559999999999999998e-01 2.469999999999999973e-01 4.279999999999999916e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.660000000000000000e+04 1.559999999999999998e-01 2.469999999999999973e-01 4.279999999999999916e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.670000000000000000e+04 1.559999999999999998e-01 2.469999999999999973e-01 4.279999999999999916e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.680000000000000000e+04 1.559999999999999998e-01 2.469999999999999973e-01 4.279999999999999916e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.690000000000000000e+04 1.559999999999999998e-01 2.469999999999999973e-01 4.279999999999999916e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.700000000000000000e+04 1.559999999999999998e-01 2.469999999999999973e-01 4.279999999999999916e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.710000000000000000e+04 1.559999999999999998e-01 2.469999999999999973e-01 4.279999999999999916e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.720000000000000000e+04 1.519999999999999962e-01 2.469999999999999973e-01 4.319999999999999951e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.730000000000000000e+04 1.519999999999999962e-01 2.469999999999999973e-01 4.319999999999999951e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.740000000000000000e+04 1.519999999999999962e-01 2.469999999999999973e-01 4.319999999999999951e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.750000000000000000e+04 1.519999999999999962e-01 2.469999999999999973e-01 4.319999999999999951e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.760000000000000000e+04 1.519999999999999962e-01 2.469999999999999973e-01 4.319999999999999951e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.770000000000000000e+04 1.519999999999999962e-01 2.469999999999999973e-01 4.319999999999999951e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.780000000000000000e+04 1.519999999999999962e-01 2.469999999999999973e-01 4.319999999999999951e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.790000000000000000e+04 1.519999999999999962e-01 2.469999999999999973e-01 4.319999999999999951e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.800000000000000000e+04 1.519999999999999962e-01 2.300000000000000100e-01 4.490000000000000102e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.810000000000000000e+04 1.519999999999999962e-01 2.300000000000000100e-01 4.490000000000000102e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.820000000000000000e+04 1.519999999999999962e-01 2.300000000000000100e-01 4.490000000000000102e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.830000000000000000e+04 1.519999999999999962e-01 2.300000000000000100e-01 4.490000000000000102e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.840000000000000000e+04 1.519999999999999962e-01 2.300000000000000100e-01 4.490000000000000102e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.850000000000000000e+04 1.519999999999999962e-01 2.300000000000000100e-01 4.490000000000000102e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.860000000000000000e+04 1.519999999999999962e-01 2.300000000000000100e-01 4.490000000000000102e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.870000000000000000e+04 1.519999999999999962e-01 2.300000000000000100e-01 4.490000000000000102e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.880000000000000000e+04 1.519999999999999962e-01 2.300000000000000100e-01 4.490000000000000102e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.890000000000000000e+04 1.519999999999999962e-01 2.300000000000000100e-01 4.490000000000000102e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.900000000000000000e+04 1.519999999999999962e-01 2.300000000000000100e-01 4.490000000000000102e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.910000000000000000e+04 1.519999999999999962e-01 2.300000000000000100e-01 4.490000000000000102e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.920000000000000000e+04 1.519999999999999962e-01 2.300000000000000100e-01 4.490000000000000102e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.930000000000000000e+04 1.519999999999999962e-01 2.300000000000000100e-01 4.490000000000000102e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.940000000000000000e+04 1.519999999999999962e-01 2.300000000000000100e-01 4.490000000000000102e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.950000000000000000e+04 1.519999999999999962e-01 2.300000000000000100e-01 4.490000000000000102e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.960000000000000000e+04 1.519999999999999962e-01 2.300000000000000100e-01 4.490000000000000102e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.970000000000000000e+04 1.519999999999999962e-01 2.300000000000000100e-01 4.490000000000000102e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.980000000000000000e+04 1.479999999999999927e-01 2.220000000000000029e-01 4.610000000000000209e-01 9.900000000000000466e-02 7.000000000000000666e-02
8.990000000000000000e+04 1.479999999999999927e-01 2.220000000000000029e-01 4.610000000000000209e-01 9.900000000000000466e-02 7.000000000000000666e-02
9.000000000000000000e+04 1.479999999999999927e-01 2.220000000000000029e-01 4.610000000000000209e-01 9.900000000000000466e-02 7.000000000000000666e-02
9.010000000000000000e+04 1.479999999999999927e-01 2.220000000000000029e-01 4.610000000000000209e-01 9.900000000000000466e-02 7.000000000000000666e-02
9.020000000000000000e+04 1.479999999999999927e-01 2.220000000000000029e-01 4.610000000000000209e-01 9.900000000000000466e-02 7.000000000000000666e-02
9.030000000000000000e+04 1.479999999999999927e-01 2.220000000000000029e-01 4.610000000000000209e-01 9.900000000000000466e-02 7.000000000000000666e-02
9.040000000000000000e+04 1.479999999999999927e-01 2.220000000000000029e-01 4.610000000000000209e-01 9.900000000000000466e-02 7.000000000000000666e-02
9.050000000000000000e+04 1.479999999999999927e-01 2.220000000000000029e-01 4.610000000000000209e-01 9.900000000000000466e-02 7.000000000000000666e-02
9.060000000000000000e+04 1.479999999999999927e-01 2.220000000000000029e-01 4.610000000000000209e-01 9.900000000000000466e-02 7.000000000000000666e-02
9.070000000000000000e+04 1.479999999999999927e-01 2.220000000000000029e-01 4.610000000000000209e-01 9.900000000000000466e-02 7.000000000000000666e-02
9.080000000000000000e+04 1.479999999999999927e-01 2.220000000000000029e-01 4.610000000000000209e-01 9.900000000000000466e-02 7.000000000000000666e-02
9.090000000000000000e+04 1.479999999999999927e-01 2.220000000000000029e-01 4.610000000000000209e-01 9.900000000000000466e-02 7.000000000000000666e-02
9.100000000000000000e+04 1.479999999999999927e-01 2.220000000000000029e-01 4.610000000000000209e-01 9.900000000000000466e-02 7.000000000000000666e-02
9.110000000000000000e+04 1.479999999999999927e-01 2.220000000000000029e-01 4.610000000000000209e-01 9.900000000000000466e-02 7.000000000000000666e-02
9.120000000000000000e+04 1.479999999999999927e-01 2.220000000000000029e-01 4.610000000000000209e-01 9.900000000000000466e-02 7.000000000000000666e-02
9.130000000000000000e+04 1.479999999999999927e-01 2.220000000000000029e-01 4.610000000000000209e-01 9.900000000000000466e-02 7.000000000000000666e-02
9.140000000000000000e+04 1.479999999999999927e-01 2.220000000000000029e-01 4.610000000000000209e-01 9.900000000000000466e-02 7.000000000000000666e-02
9.150000000000000000e+04 1.479999999999999927e-01 2.220000000000000029e-01 4.610000000000000209e-01 9.900000000000000466e-02 7.000000000000000666e-02
